nohup: 忽略输入
[I 2025-09-28 20:21:50,750] Trial 99 finished with value: 1.9589662551879883 and parameters: {'out_channels1': 9, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 209}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:21:56,337] Trial 100 finished with value: 1.824855089187622 and parameters: {'out_channels1': 6, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 249}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:22:00,656] Trial 101 finished with value: 1.9669426679611206 and parameters: {'out_channels1': 7, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 239}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:22:04,625] Trial 102 finished with value: 1.9737303256988525 and parameters: {'out_channels1': 7, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 241}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:22:08,829] Trial 103 finished with value: 1.9330625534057617 and parameters: {'out_channels1': 7, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 229}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:22:12,487] Trial 104 finished with value: 1.9494132995605469 and parameters: {'out_channels1': 8, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 248}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:22:17,553] Trial 105 finished with value: 1.9820067882537842 and parameters: {'out_channels1': 5, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 221}. Best is trial 105 with value: 1.9820067882537842.
[I 2025-09-28 20:22:20,861] Trial 106 finished with value: 1.9497761726379395 and parameters: {'out_channels1': 4, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 223}. Best is trial 105 with value: 1.9820067882537842.
[I 2025-09-28 20:22:23,795] Trial 107 finished with value: 1.8666601181030273 and parameters: {'out_channels1': 5, 'kernel_size1': 3, 'dropout_rate': 0.4, 'hidden_dim': 233}. Best is trial 105 with value: 1.9820067882537842.
[I 2025-09-28 20:22:25,688] Trial 108 finished with value: 1.9415595531463623 and parameters: {'out_channels1': 5, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 219}. Best is trial 105 with value: 1.9820067882537842.
[I 2025-09-28 20:22:30,824] Trial 109 finished with value: 1.9621204137802124 and parameters: {'out_channels1': 5, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 237}. Best is trial 105 with value: 1.9820067882537842.
[I 2025-09-28 20:22:34,008] Trial 110 finished with value: 1.9439678192138672 and parameters: {'out_channels1': 6, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 48}. Best is trial 105 with value: 1.9820067882537842.
[I 2025-09-28 20:22:36,950] Trial 111 finished with value: 1.9780619144439697 and parameters: {'out_channels1': 7, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 243}. Best is trial 105 with value: 1.9820067882537842.
[I 2025-09-28 20:22:40,085] Trial 112 finished with value: 1.9766182899475098 and parameters: {'out_channels1': 6, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 252}. Best is trial 105 with value: 1.9820067882537842.
